#SampleID	env_material	Collection_Date	BioSample
SRR10454057	rhizosphere	2016	SAMN13284050
SRR10454058	Bulk soil	2016	SAMN13284051
SRR10454059	Bulk soil	2016	SAMN13284052
SRR10454060	Bulk soil	2016	SAMN13284053
SRR10454061	Bulk soil	2016	SAMN13284054
SRR10454062	Bulk soil	2016	SAMN13284055
SRR10454063	Bulk soil	2016	SAMN13284135
SRR10454064	Bulk soil	2016	SAMN13284068
SRR10454065	Bulk soil	2016	SAMN13284058
SRR10454066	Bulk soil	2016	SAMN13284059
SRR10454067	Bulk soil	2016	SAMN13284060
SRR10454068	Bulk soil	2016	SAMN13284061
SRR10454069	Bulk soil	2016	SAMN13284062
SRR10454070	Bulk soil	2016	SAMN13284063
SRR10454071	Bulk soil	2016	SAMN13284064
SRR10454072	Bulk soil	2016	SAMN13284065
SRR10454073	Bulk soil	2016	SAMN13284066
SRR10454074	Bulk soil	2016	SAMN13284067
SRR10454075	Bulk soil	2016	SAMN13284079
SRR10454076	Bulk soil	2016	SAMN13284069
SRR10454077	Bulk soil	2016	SAMN13284070
SRR10454078	Bulk soil	2016	SAMN13284071
SRR10454079	Bulk soil	2016	SAMN13284072
SRR10454080	Bulk soil	2016	SAMN13284073
SRR10454081	Bulk soil	2016	SAMN13284074
SRR10454082	Bulk soil	2016	SAMN13284075
SRR10454083	Bulk soil	2016	SAMN13284076
SRR10454084	Bulk soil	2016	SAMN13284077
SRR10454085	Bulk soil	2016	SAMN13284078
SRR10454086	Bulk soil	2016	SAMN13284090
SRR10454087	Bulk soil	2016	SAMN13284080
SRR10454088	Bulk soil	2016	SAMN13284081
SRR10454089	Bulk soil	2016	SAMN13284082
SRR10454090	Bulk soil	2016	SAMN13284083
SRR10454091	Bulk soil	2016	SAMN13284084
SRR10454092	Bulk soil	2016	SAMN13284085
SRR10454093	Bulk soil	2016	SAMN13284086
SRR10454094	Bulk soil	2016	SAMN13284087
SRR10454095	Bulk soil	2016	SAMN13284088
SRR10454096	Bulk soil	2016	SAMN13284089
SRR10454097	Bulk soil	2016	SAMN13284101
SRR10454098	Bulk soil	2016	SAMN13284091
SRR10454099	Bulk soil	2016	SAMN13284092
SRR10454100	Bulk soil	2016	SAMN13284093
SRR10454101	Bulk soil	2016	SAMN13284094
SRR10454102	Bulk soil	2016	SAMN13284095
